"cor","edad","Region","zona_rec","GSEo","sexo","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12a","P12b","P12c","P13a","P13b","P13c","P13d","P13e","P13f","P13g","P13h","P13i","P13j","P14","P15a","P15b","P15c","P15d","P16a","P16b","P17a","P17b","P17c","P17d","P17e","P17f","P17g","P17h","P17i","P17j","P17k","P17L","P17m","P17n","P17o","P17p","P17q","P17r","P17s","P17t","P17u","P18","P19","P20","P21","P22","P23","P24","P25a","P25b","P25c","P25d","P25e","P25f","P25g","P25h","P25i","P26","P27a","P27b","P27c","P27d","P27e","P27f","P27g","P28","P29","P30","P31","P32","P33a","P33b","P33c","P33d","P33e","P33f","P33g","P34a","P34b","P34c","P34d","P34e","P34f","P35","P36","P37","P38","P39a","P39b","P39c","P39d","P39e","P39f","P39g","P39h","P39i","P40","P41","P42a","P42b","P42c","P42d","P42e","P42f","P42g","P42h","P43","P44","P45","P46","P47","P48a","P48b","P48c","P48d","P48e","P48f","P48g","P48h","P48i","P48j","P49","P50a","P50b","P50c","P50d","P50e","P50f","P50g","P50h","P50i","P50j","P50k","P50L","P50Lo","P51","P52a","P52b","P52c","P52d","P52e","P52f","P52g","P52h","P52i","P52j","P52k","P52L","P53","P54a","P54b","P54c","P54d","P54e","P54f","P55","P56","P57","P58","P59","P60a","P60b","P60c","P60d","P60e","P60f","P61","P62_1","P62_2","P63a","P63b","P63c","P63d","P63e","P63f","P63g","P63h","P63i","P63j","P63k","P63L","P63m","P63n","P63o","P63p","P63q","P63r","P64a","P64b","P64c","P64d","P64e","P64f","P64g","P64h","P64i","P64j","P65","P66","P67","P68a","P68b","P68c","P68d","P69a","P69b","P69c","P69d","P69e","P69f","P69g","P70a","P70b","P70c","P70d","P71_1","P71_2","P71_3","P71_4","P72","P73a","P73b","P73c","P73d","P74a","P74b","P74c","P74d","P74e","P75","P76a","P76b","P77","P78","P79","P80","P81","P82","P83","P84","P85","P86","P87","P88","P89","P90","P91a","P91b","P91c","P91d","P92a","P92b","P92c","P93","P94","P95","P96","P97p","P97m","P98a","P98b","P98c","P98d","P98e","P98f","P98g","P98h","P98i","P98j","P98k","P98L","P98Lo","P99","P100","P101","P102","P103","P104","P105","P106","P107","P108","P109","P110","P111","P112","P113","P114","P115","P116a","P116b","P116c","P116d","P116e","P116f","P116g","P116h","P117","P118","P119","P120","P121","P122","P123a","P123b","P123c","P123d","P123e","P124a","P124b","P124c","P124d","P125","P126a","P126b","P126c","P127","P128","P129","P130","P131","P132","P133a","P133b","P134","P135","P136a","P136b","P136c","P136d","P136e","P137","P138","P139a","P139b","P139c","P139d","P140","P141","P142","P143","P144","P145","P146","P147","P148","P149","P150a","P150b","P150c","P150d","P150e","P150f","P150g","P150h","P150i","P150j","P151","NSE_imput","pond","macrozona","p78f","P78a1","P78a2","P79c","P71_1CA","P71_2CA","P71_3CA","P71_4CA"
2225,2,3,1,3,1,42,3,4,3,1,1,6,1,1,1,3,3,3,2,2,1,4,2,2,2,2,3,4,4,3,3,3,4,4,3,,4,3,3,4,4,1,1,1,1,2,2,4,2,6,5,5,2,3,2,2,1,14,1,10,3,2,2,3,2,1,3,1,2,1,1,3,3,2,2,3,1,1,1,2,2,2,1,3,10,2,6,9,8,10,10,10,8,1,1,7,7,7,7,,,1,2,1,1,1,2,2,1,2,1,1,1,3,5,5,1,2,2,1,1,1,2,2,3,1,3,3,1,1,1,3,4,3,3,3,3,3,2,1,1,1,2,1,1,1,1,2,1,2,,1,5,5,3,5,8,3,1,10,5,3,1,3,1,4,2,4,5,7,7,1,10,4,1,,5,8,10,8,9,4,9,2,3,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,1,3,3,3,3,2,,9,3,8,1,1,1,3,3,1,2,4,5,3,3,1,"LA DEMOCRACIA","CAMBIOS NE LE SISTEMA DE EDUCACIÓN",,,3,3,3,4,3,,5,5,1,6,,5,5,4,"9",,,4,3,2,2,3,,3,2,2,3,3,3,2,3,1,2,2,6,2,1,,6,6,3,3,3,2,2,3,2,2,2,2,2,3,,,1,1,,1,2,1,1,"NO ESPECIFICA",77,3,6,3,3,2,6,6,1,1,3,2,2,1,1,1,3,2,3,1,7,1,4,4,5,3,4,2,2,2,2,,,,,,9,1,5,1,,3,4,4,2,4,5,5,1,4,2,1,3,3,3,4,3,3,1,2,4,1,2,1,,,1,1,1,1,1,1,1,1,1,2,7,2,1.89298035206431,1,99,99,99,,5,8,,
2236,2,6,2,3,2,40,3,4,6,2,,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,3,3,3,3,1,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,3,7,1,1,6,3,4,5,3,4,4,5,5,5,3,1,2,1,1,1,2,1,1,1,1,10,2,5,5,5,5,5,5,5,4,5,6,4,7,7,1,7,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,4,4,2,3,2,1,2,3,1,1,1,3,3,3,3,3,3,3,3,3,3,2,2,1,1,1,2,,1,1,2,1,,,2,9,5,9,5,5,5,5,5,5,5,5,5,1,4,4,4,4,4,4,1,6,5,4,1,8,8,8,7,7,1,7,7,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,1,1,3,2,2,6,10,6,6,3,2,3,2,2,3,3,2,2,2,2,"ESQUIZOFRENIA DE SU PADRE CUANDO ERA JOVEN",,,,2,3,3,3,3,4,5,7,1,1,2,6,5,3,"9",,1,6,1,1,1,2,4,2,2,1,3,2,3,2,3,3,3,3,3,,1,,,,2,2,3,2,2,2,2,2,2,2,2,3,,1,3,1,,1,2,2,1,"PARISI",15,,7,6,6,4,7,7,1,1,3,3,3,1,1,3,7,4,4,1,5,1,5,5,5,4,4,2,2,2,2,,,,,,8,1,6,1,2,2,2,6,1,2,2,2,2,2,2,2,2,3,3,3,5,2,1,2,3,1,2,1,,,1,1,1,1,1,1,1,1,1,1,6,1,0.47385675350051,2,99,99,99,,12,,,
2240,2,6,2,3,1,41,3,4,2,1,1,1,1,1,2,2,1,2,1,1,1,3,2,2,1,2,3,3,3,1,3,4,4,4,3,3,4,6,5,4,3,1,2,1,1,1,1,2,4,2,6,3,2,4,2,1,1,15,2,8,4,2,2,5,4,4,4,4,3,2,7,7,6,3,2,1,1,3,1,2,3,4,2,1,10,1,5,10,10,7,6,10,7,2,3,5,6,5,6,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,2,2,1,2,1,2,1,2,2,2,2,1,2,1,1,3,2,1,2,1,1,1,1,1,1,1,1,2,,2,10,3,8,3,3,2,4,1,1,6,2,1,1,6,5,7,7,7,,1,10,8,1,2,10,9,10,8,9,6,9,1,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,1,2,9,8,8,9,2,1,1,1,1,2,1,2,2,2,1,"TERREMOTO","TSUNAMI","LA TORRES GEMELAS","GOLPE DE ESTADO",1,4,3,3,4,4,2,2,4,6,3,7,7,3,"9",,2,5,1,1,3,3,,4,2,1,1,4,4,4,4,3,2,5,6,1,1,,6,6,3,1,3,1,1,2,2,2,1,1,1,3,,2,4,1,,1,2,2,1,"PARISI",77,4,7,5,5,5,7,6,1,1,1,1,1,1,1,1,6,6,5,2,5,2,6,6,4,4,4,2,2,2,2,,,,,,8,1,9,1,1,3,3,5,1,4,2,2,2,1,2,1,2,2,2,2,5,2,1,1,3,1,2,1,,,1,1,1,1,1,2,1,2,2,2,5,4,2.57656045811318,2,99,99,99,,1,1,10,3
2241,2,6,1,4,2,40,4,,4,1,1,2,1,1,2,2,2,2,1,1,4,3,4,4,3,4,1,4,1,1,3,3,4,3,2,2,3,4,4,5,5,3,4,1,1,1,2,3,3,5,2,2,1,3,4,5,3,14,1,6,5,1,1,6,5,3,3,4,5,3,4,5,3,2,2,2,2,1,3,2,3,1,1,7,5,1,4,5,5,5,4,4,4,4,4,5,4,1,1,1,5,2,2,1,2,2,2,2,1,2,1,2,2,3,5,5,1,1,3,5,3,1,1,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,,1,1,2,1,2,2,1,2,2,1,,,2,5,1,4,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,3,3,5,5,1,1,5,8,10,7,5,1,1,7,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,,3,1,3,3,3,3,3,3,3,3,3,2,3,4,5,3,5,2,2,2,2,2,2,2,3,3,2,2,"TERREMOTO 2010","MUERTE DE JUAN PABLO II","MUERTE DE FELIPE CAMIROAGA","LOS MINEROS MINA SAN JOSE",1,,,3,2,,5,7,1,2,3,2,2,2,"PAPA","HUMILDAD",2,5,3,2,2,3,,3,2,2,3,2,3,2,4,2,3,3,6,1,1,,6,6,3,1,3,3,1,3,2,3,3,3,3,3,,,3,1,,2,2,,1,"FRANCO PARISI",77,,,,3,3,7,7,3,3,3,3,3,1,1,1,,,,2,6,1,,5,5,,4,2,1,2,2,3,2,3,3,2,8,,4,1,,,,5,2,,,2,1,1,,3,2,2,,2,5,3,,1,4,1,1,2,4,3,1,1,1,1,1,2,1,1,2,2,5,3,1.22497202260285,2,2,9,7,4,1,10,9,9
2242,2,6,1,3,2,40,4,,4,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,4,3,4,4,4,2,3,3,3,4,2,2,4,5,5,5,5,4,4,4,4,5,5,4,5,5,4,1,1,2,5,3,3,2,2,2,6,2,2,6,4,3,4,3,4,1,5,5,5,2,2,2,2,3,3,2,3,5,,5,9,1,9,9,9,9,9,,6,4,4,6,6,5,6,2,,2,2,1,1,1,1,1,1,1,1,1,1,3,4,4,3,2,4,4,2,2,1,1,3,1,1,1,1,1,1,3,3,1,1,3,1,1,2,1,2,2,1,2,2,1,1,2,1,,,1,9,9,4,4,4,2,2,4,4,4,2,4,2,4,4,4,4,4,4,1,6,5,2,2,6,8,6,6,6,6,8,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,3,4,5,3,5,3,3,2,2,2,2,2,3,4,3,2,2,"GOLPE MILITAR",,,,3,3,1,2,3,1,5,5,6,2,,5,4,4,"NO TIENE","NO TIENE",2,5,3,2,2,3,,1,3,1,3,3,3,3,4,2,3,5,1,,1,,1,1,3,2,3,3,2,3,2,2,2,2,3,3,,2,4,1,,2,2,1,1,"NO RESPONDE",77,4,6,5,5,4,6,6,1,1,1,1,1,1,1,1,5,4,4,2,1,2,4,4,4,4,4,1,2,2,2,3,3,3,3,1,8,1,7,1,1,3,3,5,2,4,4,2,2,2,2,2,3,3,3,3,5,2,1,1,3,1,2,2,2,4,1,1,2,2,1,1,1,1,2,2,3,3,1.22497202260285,2,99,99,99,,3,,,
2245,2,6,2,3,2,32,4,,3,1,1,1,1,,2,2,3,3,3,2,4,3,3,2,4,4,2,4,4,1,3,3,4,4,2,3,3,3,5,5,3,1,3,1,1,3,3,4,4,5,2,2,2,1,3,4,4,14,1,6,5,1,1,7,2,2,4,3,2,1,3,3,2,2,2,1,1,3,1,2,2,3,2,1,10,1,10,7,10,10,10,10,10,1,1,7,7,7,7,1,4,1,2,1,1,1,,1,1,1,1,1,1,4,2,4,1,1,4,4,1,2,2,3,2,2,3,3,3,4,1,1,3,1,1,1,1,1,2,2,1,2,2,2,2,1,1,2,1,2,,3,5,1,5,1,1,1,1,3,1,7,2,6,2,1,1,1,5,1,5,3,8,5,2,1,9,10,5,9,9,2,8,7,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,3,3,3,2,3,3,3,3,2,4,3,1,5,5,1,1,3,4,1,1,4,4,2,2,2,"LA CAIDA DE LAS TORRES GEMELAS","MUERTE DEL APA JUAN PABLO II","TERREMOTO DEL 2010","LA GUERRA EN OTROS PAISES",1,,,,4,7,7,7,6,6,,7,7,3,"9",,1,3,1,1,2,3,,2,3,1,3,3,3,3,4,3,3,3,6,1,2,6,6,6,3,2,3,3,1,1,1,1,1,1,3,3,,,3,1,,2,2,1,4,"MARCO ANTONIO OMINAMI",77,,5,4,5,4,7,5,1,1,1,1,1,1,1,1,6,5,3,1,4,2,6,5,4,5,5,2,1,2,2,3,3,3,3,1,7,2,8,1,1,3,3,5,3,4,2,2,2,2,3,1,3,3,3,3,1,3,2,1,4,1,2,1,,,1,1,2,1,1,1,1,1,2,2,2,3,0.47385675350051,2,99,99,99,,10,10,1,10
2249,2,6,2,3,2,42,4,,1,1,1,1,1,1,2,3,3,4,1,2,1,4,3,1,4,4,4,4,4,3,4,4,4,4,4,3,1,7,4,5,1,1,1,1,1,3,1,5,6,7,4,3,1,4,6,3,3,14,1,5,2,3,2,3,3,1,3,1,4,1,1,5,4,1,2,3,3,3,3,2,1,2,2,2,10,2,10,4,10,10,10,10,10,1,1,7,7,7,7,2,,3,3,1,1,1,1,1,1,1,1,1,2,3,1,1,5,5,5,5,1,1,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,2,,2,10,3,2,3,10,4,1,10,1,10,1,1,2,4,4,7,7,6,7,2,10,10,1,1,4,3,10,5,1,1,10,1,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,1,10,10,10,1,1,2,1,1,2,1,1,1,1,1,"EL TERREMOTO","LA MUERTE DE FELIPE CAMIROAGA","ATENTADO A LAS TORRES GEMELAS","LA GUERRA EN SIRIA",1,1,4,4,1,1,2,5,1,2,2,7,7,4,"8",,2,1,3,2,2,4,,1,3,1,1,2,4,4,3,4,4,5,1,,1,,1,1,2,1,3,2,1,2,2,1,1,2,3,3,,2,3,1,,2,1,1,1,"MICHELLE BACHELET",1,4,4,5,4,4,4,5,3,3,3,1,3,1,1,1,6,2,4,2,3,1,3,3,3,3,3,2,2,2,2,,,,,,10,1,10,2,2,2,2,1,3,2,1,1,4,1,4,1,4,4,4,2,5,2,1,1,3,1,2,2,1,2,1,1,1,2,1,2,1,1,2,2,2,4,0.47385675350051,2,99,99,99,,1,9,10,10
2256,2,6,1,4,2,33,4,,4,1,1,6,1,1,2,2,3,2,3,1,3,4,1,2,3,2,3,4,3,1,3,3,3,4,1,2,1,1,3,3,5,1,1,1,1,3,3,3,3,3,5,2,2,3,1,1,1,15,1,8,5,2,2,5,2,3,3,2,3,1,4,3,3,3,3,1,3,1,1,3,1,5,2,2,10,1,10,10,8,10,10,10,8,6,2,7,7,7,7,1,7,1,3,1,1,2,2,1,1,1,1,1,1,3,2,4,4,1,2,2,1,2,2,2,4,2,3,3,1,3,1,3,3,1,1,3,1,3,2,1,2,2,1,2,2,1,2,2,2,2,,2,10,7,9,7,10,7,7,10,5,7,2,8,2,7,1,7,7,7,7,1,10,6,3,1,3,7,4,8,8,6,6,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,1,2,1,4,3,5,10,4,1,1,1,1,1,1,1,4,3,2,2,"RETORNO A DEMOCRACIA","PROETSTAS ESTUDIANTILES","TERREMOTO",,1,,,2,3,3,2,2,6,6,2,7,7,2,"8",,1,6,3,2,2,3,,5,3,2,1,3,,,4,3,,,1,,1,,3,3,2,2,3,3,2,2,2,2,2,2,2,3,,,4,2,4,2,,1,5,"BACHELET",10,3,5,4,5,4,6,5,3,1,1,2,2,1,1,1,6,5,4,1,5,1,5,5,5,5,5,2,2,2,2,,,,,,7,1,6,1,1,3,2,5,3,4,2,2,2,2,2,2,2,1,4,2,5,2,1,1,4,7,,2,6,3,1,1,1,1,1,2,2,1,2,2,2,2,1.22497202260285,2,99,99,99,,5,7,1,
2257,2,6,1,4,1,36,3,4,4,1,1,1,2,,2,2,3,3,1,2,4,4,2,2,3,4,4,4,4,2,3,4,3,4,2,2,3,5,4,5,5,2,2,1,1,4,4,3,4,5,3,2,2,2,3,4,5,4,1,6,5,1,2,6,5,6,5,6,5,3,5,5,6,3,3,2,2,1,1,2,3,3,1,5,7,2,7,6,9,9,5,8,6,4,5,4,5,5,7,1,6,2,2,1,1,1,2,1,1,1,1,1,3,3,3,4,2,1,1,5,1,1,1,2,4,2,1,3,1,3,3,3,3,1,3,1,1,3,2,2,1,2,1,2,2,1,2,2,1,2,,2,5,2,2,1,1,1,2,3,2,3,1,4,1,7,4,,7,5,6,2,5,6,3,1,6,10,4,2,1,1,7,1,5,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,7,6,5,3,2,3,1,1,1,2,1,2,1,1,1,"TERREMOTO","LA U CAMPEON SUDAMERICANO","LAS AUTOPISTAS","PROTESTAS ESCOLARES",3,,,3,1,8,7,4,1,7,2,6,5,3,"SAMPAOLI","POR INTELIGENTE",2,8,3,2,2,4,,1,,2,3,4,4,4,4,4,4,4,3,,,3,6,6,3,2,3,2,1,3,2,2,2,2,2,3,,1,4,2,1,2,,1,4,"NOSE",77,1,4,5,3,2,4,3,1,1,1,2,2,1,2,2,3,2,4,1,3,2,7,5,5,4,5,2,2,2,2,,,,,,8,2,6,1,2,2,3,5,1,1,2,4,2,1,3,4,3,2,3,3,4,3,1,3,4,1,,1,,,1,1,1,1,1,1,1,1,2,2,3,2,2.46954220515812,2,52,8,6,3,1,11,11,7
2260,2,6,1,4,2,41,3,5,4,1,1,6,1,1,2,2,1,2,2,1,3,2,3,3,3,3,2,4,4,2,3,3,2,2,1,2,1,1,5,5,5,2,1,1,1,3,1,3,4,4,3,1,1,,5,5,5,4,1,6,5,1,1,5,6,5,6,5,5,1,5,4,5,1,1,2,1,1,3,2,2,1,1,6,10,2,5,9,8,10,10,10,6,2,1,6,7,7,6,1,7,2,2,1,2,1,1,2,2,2,1,1,2,3,3,3,1,1,4,1,1,1,2,2,2,1,2,2,1,2,1,2,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,1,1,2,,2,8,1,1,1,1,3,1,8,1,4,1,1,1,6,5,5,5,5,3,1,8,5,2,1,10,10,8,8,5,5,6,2,7,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,3,3,3,2,1,1,2,2,2,2,2,7,6,8,1,2,2,3,2,1,3,2,3,2,1,1,"LA CAIDA DE LA DICTADURA Y LA MUERTE DEL DICTADOR","LA VENIDA DELPAPA JUAN PABLO II","EL ATENTADO TERRORISTA DE LAS TORRES GEMELAS","EL PREIDENTE OBAMA EN EEUU",1,3,2,3,1,4,2,7,6,6,2,5,7,3,"DIANA DE GALES","HUMANITARIA",1,8,1,1,1,3,,1,3,2,1,3,3,3,2,2,3,5,6,1,1,,6,6,2,2,3,3,2,3,2,2,2,2,2,3,,1,3,2,4,2,,1,1,"NOSE",77,4,5,4,4,4,6,5,1,1,1,1,1,1,1,1,5,3,4,1,4,1,6,5,4,4,4,1,1,2,1,3,3,2,2,1,5,1,8,1,2,3,3,1,3,5,2,1,1,4,2,2,3,1,2,1,1,1,1,1,5,7,,2,3,2,1,1,1,1,1,1,1,1,1,2,7,2,1.22497202260285,2,53,4,4,4,5,4,10,10
2278,2,7,1,4,2,40,3,4,2,2,,3,1,1,2,3,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,1,1,5,1,3,3,3,3,2,2,2,2,3,3,4,4,3,2,2,2,2,4,4,1,5,6,7,2,2,7,4,2,5,3,5,1,5,7,6,2,3,2,2,2,2,2,2,5,2,7,2,1,10,10,10,10,10,10,10,3,3,3,3,3,3,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,1,5,5,1,1,2,2,3,1,3,1,1,1,1,1,1,1,1,1,1,3,2,1,,2,2,2,2,2,2,2,1,,,1,1,1,1,1,2,7,2,3,1,5,1,1,1,7,7,2,6,7,7,1,10,10,1,1,1,7,9,9,3,1,7,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,10,10,10,10,1,1,2,2,1,3,3,1,1,1,1,"TERREMOTO","ATAQUE A LAS TORRES GEMELAS DE ESTADOS UNIDOS","AVANCES TECNOLOGICOS",,2,,4,2,3,7,2,2,1,6,4,7,7,2,"MICHELLE BACHELET","FUE UNA PERSONA QUE REALIZO MUCHOS AVANCES",1,6,1,1,2,3,,3,3,1,1,3,4,4,4,3,3,5,5,,1,,6,6,1,1,3,2,2,3,3,3,1,1,3,3,,1,4,1,,2,2,2,1,"EVELYN",9,1,3,4,4,3,3,3,1,1,1,1,1,1,1,1,3,3,3,1,2,1,4,3,7,5,5,1,2,2,2,3,3,3,3,2,7,1,8,2,2,1,3,3,3,4,1,1,2,2,3,2,4,2,4,1,7,3,1,1,5,2,2,1,,,1,1,1,1,1,2,1,1,2,2,1,3,1.06786648885999,4,1,3,3,2,1,10,11,
2282,2,6,2,4,2,43,4,,2,2,,6,1,1,2,3,3,3,3,3,4,4,2,2,3,3,4,4,4,3,3,3,3,3,2,2,5,7,5,6,6,6,5,6,6,5,,6,6,7,5,6,6,6,5,6,6,14,1,1,6,2,2,6,4,3,4,4,5,6,6,6,6,2,3,3,3,3,3,3,3,3,1,6,9,1,1,3,6,10,10,10,7,6,3,7,7,7,7,2,,,,3,3,2,,3,,,2,,,,4,4,4,2,4,4,2,2,1,1,4,1,3,3,3,3,3,3,3,3,3,3,3,,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,1,1,1,1,1,1,1,1,1,1,1,,7,1,4,7,7,5,1,10,8,3,1,10,10,10,10,10,10,7,1,6,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,3,4,10,10,10,10,2,2,2,2,2,2,2,2,2,2,2,"CUANDO FALLECIO JUAN PABLO II","CUANDO FALLECIO LADY DI",,,,2,2,1,3,7,7,7,6,6,2,5,6,,"DIANA DE GALES","AYUDABA A LOS NIÑOS DESAMPARADOS",1,8,3,2,2,3,,5,3,2,1,3,2,2,3,4,4,5,5,,1,,1,1,3,3,3,3,3,3,3,3,3,3,3,3,,1,3,1,,1,2,2,1,"MATHEI",77,4,5,5,6,6,6,6,1,1,4,,1,,1,1,6,5,6,1,4,1,6,7,6,5,6,2,2,2,2,,,,,,8,2,8,2,1,3,3,3,2,2,2,2,2,2,4,3,4,3,2,1,4,4,3,2,5,1,2,2,1,10,1,2,1,1,2,2,1,2,2,2,2,4,0.47385675350051,2,53,4,4,2,10,11,,
2283,2,6,1,4,1,38,3,4,3,1,1,1,1,1,2,3,3,2,3,2,3,2,3,3,3,4,4,4,4,1,3,3,4,3,3,3,4,5,5,5,4,2,3,3,2,3,4,4,3,6,,,2,4,3,3,2,15,4,6,5,1,1,6,3,4,6,4,5,3,4,4,5,2,2,1,3,3,1,2,3,4,1,5,9,2,3,6,3,10,9,9,9,5,5,3,2,5,7,1,8,1,1,1,1,1,2,1,1,1,1,1,2,3,1,1,1,1,5,2,2,2,2,2,2,2,2,2,1,3,1,3,2,1,2,2,1,1,2,1,2,2,1,2,2,1,1,1,1,2,,2,8,8,8,2,2,8,3,8,3,9,3,3,2,7,7,7,,6,7,2,6,6,3,1,6,8,8,8,5,4,8,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,1,1,1,10,5,9,6,1,1,2,1,1,3,4,4,2,2,2,"LA ELECCIÓN DELA CTUAL PRESIDENTE DE EUU","EL RESCATE DE LOS MINEROS DE LA MINA SAN JOSE","LAMUERTE DE DIANA DE GALES","LA DESTRUCCIÓN DE AS TORRES GEMELAS",2,1,4,1,2,2,7,7,6,3,3,7,6,3,"PINOCHET","PORQUE ARREGLO EL AIS Y REALIZO EL GOLPE DE ESTADO",2,7,1,1,3,3,,4,3,1,1,3,3,3,4,4,4,5,6,2,1,,6,6,2,1,3,2,2,2,1,2,1,2,2,3,,1,3,1,,1,2,2,1,"EVELYN MATHEI",77,4,5,5,5,5,7,7,1,1,1,1,1,1,1,1,6,5,5,2,5,2,5,5,6,5,6,2,2,2,2,,,,,,9,1,9,1,1,3,2,5,1,2,2,2,2,2,2,2,3,2,2,2,4,2,1,1,3,1,2,1,,,1,1,1,1,2,2,1,2,2,2,6,4,2.46954220515812,2,5,2,2,2,10,9,11,10
2284,2,6,1,4,1,44,3,4,1,2,,6,1,2,2,2,2,2,2,1,4,4,1,4,4,4,4,4,4,2,2,2,2,2,2,2,3,4,5,5,6,4,4,3,2,4,5,4,5,7,6,5,5,5,5,5,5,14,2,1,9,1,1,8,5,5,5,3,4,6,6,6,5,2,1,2,1,1,1,2,2,4,1,7,9,2,10,10,10,10,10,10,10,3,2,6,7,6,6,,,1,2,2,2,1,,2,,,1,,,,5,5,5,1,4,5,4,3,2,2,2,2,2,3,3,3,3,3,3,1,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,1,1,1,1,1,1,1,1,1,1,1,2,7,4,5,6,5,4,1,10,8,3,2,10,8,7,9,6,1,6,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,8,9,8,8,2,2,2,2,2,2,2,2,2,2,2,"NADA",,,,1,1,1,2,1,4,5,5,1,5,3,6,7,2,"8",,1,8,2,2,2,4,,1,2,2,3,4,4,4,4,4,4,5,1,,1,,1,1,1,3,3,3,3,3,3,3,3,3,3,3,,1,4,1,,2,2,1,1,"BACHELET",77,3,6,6,4,4,6,6,3,3,3,3,3,3,3,3,5,5,5,1,7,1,5,6,6,6,6,1,2,2,2,3,3,3,3,1,7,1,8,2,1,2,2,1,2,4,4,2,2,2,3,3,4,3,2,2,5,2,1,1,5,1,2,2,1,8,1,2,2,2,2,1,1,2,2,2,4,4,2.46954220515812,2,99,99,99,,,,,
2285,2,6,2,4,2,36,4,,2,1,1,1,1,1,2,2,3,3,3,1,2,2,2,3,4,4,4,4,4,2,2,2,2,2,2,2,5,5,6,6,5,4,5,,5,5,6,5,5,5,5,6,5,5,6,6,6,4,1,6,5,1,3,6,6,6,6,5,5,5,6,6,6,2,3,3,1,3,3,2,3,1,1,5,10,2,10,10,10,10,9,9,10,2,2,7,7,7,7,2,,3,2,,,2,,,,,,,,,2,2,4,2,2,2,2,1,1,2,4,1,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,4,1,2,1,2,1,1,1,1,5,1,1,1,6,4,5,6,5,5,1,10,7,4,2,7,9,10,10,10,5,10,1,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,6,5,5,6,2,2,2,2,2,2,2,2,2,2,2,"88","88","88","88",3,3,4,4,3,6,7,7,6,6,2,5,6,2,"BACHELET","LA ENCUENTRA REPRESENTATIVA DE LA MUJER CHILENA. ELLA DICE LO QUE UNO PIENSA",1,9,1,1,,3,,5,3,2,3,4,4,4,4,3,4,5,6,1,1,,,,2,2,3,3,2,2,2,2,2,2,2,3,,2,4,1,,2,2,1,1,"BACHELET",77,4,6,6,4,4,6,6,1,1,1,1,4,1,1,1,6,6,6,2,6,2,5,6,6,5,6,2,2,2,2,,,,,,9,2,8,2,1,2,2,5,1,2,2,2,2,2,4,3,4,3,1,2,6,2,1,1,4,1,3,2,3,2,1,1,1,2,2,1,1,2,2,2,2,4,0.47385675350051,2,1,3,3,4,,,,
